full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Chris Sale,479,86.48,2212.52,6.35,41,0,67.39,12.01,80.08,7.29,5
Sonny Gray,528,88.21,2589.37,6.64,48,0,69.44,10.29,82.62,7.23,6
Jameson Taillon,424,86.77,2483.1,6.67,18,0,68.99,21.37,82.26,7.36,5
Trevor Williams,472,84.39,2047.45,6.83,24,0,69.92,18.42,83.28,7.15,6
Ben Lively,527,85.57,1994.44,7.05,31,0,70.39,23.73,83.12,7.15,6
Nick Pivetta,139,89.85,2468.26,6.73,9,0,69.58,19.33,83.97,7.32,2
Chris Bassitt,461,86.29,2132.43,6.4,23,0,68.57,18.13,81.26,6.94,5
Aaron Nola,590,86.36,2265.6,7.03,45,0,69.16,11.71,81.4,7.28,6
Joe Ross,502,91.13,2036.53,6.72,25,0,70.34,18.61,83.88,7.28,6
Erick Fedde,575,88.99,2018.44,6.66,36,0,69.32,19.05,82.19,7.07,6
Michael Wacha,553,86.41,1927.66,6.68,27,0,67.94,16.59,81.39,7.22,6
Cal Quantrill,575,88.56,1769.65,6.4,26,0,69.88,13.55,83.85,7.27,6
Chris Flexen,432,85.5,2204.69,6.27,22,0,69.57,18.25,80.45,7.51,6
Aaron Civale,513,85.58,2702.08,5.66,31,0,69.22,19.62,82.18,7.28,6
Dylan Cease,604,90.79,2696.75,6.26,48,0,69.43,17.05,80.49,7.4,6
Chris Paddack,557,87.23,2087.69,6.97,34,0,68.7,17.15,82.75,7.13,6
Hunter Greene,589,93.01,2308.54,6.36,36,0,68.61,25.01,81.76,7.0,6
Logan Gilbert,573,90.36,1852.39,7.61,37,0,69.73,14.54,81.32,7.35,6
Ronel Blanco,455,87.94,1937.22,6.66,29,0,70.49,20.98,81.99,7.37,5
Reid Detmers,556,87.74,2096.83,5.96,30,0,69.3,22.78,82.57,7.31,6
JP Sears,554,85.11,2112.09,6.5,28,0,70.68,19.47,81.66,7.24,6
Keaton Winn,416,91.59,1989.79,6.18,20,0,70.82,8.19,83.9,7.29,6
Slade Cecconi,400,88.81,2299.74,6.58,20,0,69.07,23.97,82.27,7.13,5
Ryan Weathers,566,90.37,2213.14,5.79,26,0,70.04,14.15,84.32,7.23,6
Kyle Bradish,174,90.9,2432.98,6.58,14,0,67.34,7.98,83.29,6.95,2
Mitchell Parker,478,87.23,1976.37,6.88,25,0,68.97,15.17,84.0,7.16,6
Reese Olson,563,88.84,2340.29,5.85,35,0,69.96,11.79,85.86,7.44,6
Quinn Priester,434,88.74,2182.27,6.39,17,0,71.0,5.95,83.98,7.35,5
Jack Leiter,209,90.49,2375.77,6.84,7,0,69.82,22.12,83.52,7.04,3
Gavin Stone,432,91.17,2034.59,6.57,14,0,70.68,15.22,81.65,7.28,5
