full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Michael Lorenzen,523,89.41,2367.15,5.91,20,0,70.6,17.0,83.92,7.2,6
Patrick Corbin,539,85.31,2149.6,6.71,28,0,70.72,10.07,83.33,7.62,6
Marcus Stroman,568,86.54,2360.88,5.67,21,0,70.4,14.34,80.81,7.29,6
Frankie Montas,454,91.59,2160.72,5.96,25,0,70.93,23.23,82.45,7.37,5
Nick Pivetta,658,88.16,2446.16,6.78,47,0,69.16,24.84,81.98,7.1,7
Chris Bassitt,599,87.02,2134.56,6.44,29,0,69.82,19.95,82.15,7.02,6
Erick Fedde,562,89.7,2077.47,6.68,26,0,70.03,17.99,82.78,7.04,6
Kyle Freeland,331,88.74,2326.4,6.57,21,0,70.82,12.99,84.14,7.3,4
Michael Wacha,354,86.82,1915.46,6.81,22,0,67.66,15.98,80.79,7.31,4
Zach Eflin,555,87.01,2257.55,6.52,31,0,69.78,13.55,81.54,7.31,6
Luis Severino,559,92.3,2234.62,6.44,23,0,69.49,17.54,81.19,6.94,6
Bailey Ober,460,87.1,2142.48,7.12,41,0,69.59,21.87,81.17,7.32,5
Griffin Canning,563,89.83,2154.39,5.91,23,0,70.06,11.17,83.16,7.29,6
Logan Webb,572,88.7,1985.16,7.11,34,0,69.57,5.46,81.56,7.17,6
Bryan Hoeing,108,89.73,2008.21,6.71,5,0,69.04,-3.79,83.06,7.35,2
Framber Valdez,536,88.58,2316.84,5.87,32,0,70.05,2.23,84.86,7.27,6
Tobias Myers,520,88.55,2157.14,6.68,30,0,69.69,19.94,82.85,7.1,6
Corbin Burnes,555,90.4,2722.57,6.5,34,0,69.36,13.95,84.34,7.47,6
Andre Pallante,392,91.83,2311.12,6.57,24,0,69.31,3.73,82.19,7.01,5
Tanner Bibee,588,87.98,2470.54,6.61,47,0,68.73,25.32,80.57,7.09,6
JP Sears,517,86.09,2154.58,6.38,23,0,71.95,22.27,81.72,7.19,6
Slade Cecconi,422,88.05,2316.59,6.69,24,0,69.77,20.58,82.48,7.23,6
Alec Marsh,540,89.87,2405.19,6.14,29,0,70.04,17.7,84.49,7.33,6
Reese Olson,569,88.62,2264.83,5.8,34,0,69.56,9.26,84.38,7.57,6
Bryce Miller,505,90.88,2129.83,6.28,26,0,69.96,22.62,83.87,6.96,6
Shota Imanaga,456,87.04,2068.74,6.33,26,0,70.95,26.13,81.3,7.47,5
Drew Thorpe,506,85.2,2230.12,6.34,19,0,69.94,20.76,80.25,7.4,6
Gavin Stone,428,91.56,2015.84,6.62,23,0,69.59,11.44,83.24,7.29,5
Gordon Graceffo,105,88.11,2160.36,6.59,6,0,68.68,19.72,83.66,7.11,2
