game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct
2024-06-22,CWS,DET,DREW THORPE,KENTA MAEDA,424.0,85.46,2200.14,6.12,18.0,0.0,70.8,20.65,82.3,7.57,6.0,252.0,85.13,2183.56,6.36,9.0,0.0,69.01,17.18,84.83,7.4,3.0,83.27125000000001,68.14083333333333,6.387222222222222,80.14285714285712,69.00648351648351,7.158461538461538,59.0,38.0,87.0,L4,97.0,0.608,32,65,-98,L2,97,0.33
2024-06-22,SF,STL,JORDAN HICKS,MILES MIKOLAS,503.0,88.69,2233.43,6.32,28.0,0.0,71.53,19.09,82.1,7.15,6.0,527.0,88.93,1793.64,6.54,29.0,0.0,69.17,10.23,82.14,7.49,6.0,78.31809523809524,69.74843253968254,7.052579365079365,82.58142857142857,68.87880952380952,7.185357142857143,51.0,46.0,17.0,W1,97.0,0.526,52,45,17,L2,97,0.536
2024-06-22,NYM,CHC,TYLOR MEGILL,JAMESON TAILLON,544.0,87.08,2472.9,6.7,31.0,0.0,70.06,20.96,82.15,7.33,6.0,442.0,90.25,2081.31,7.45,32.0,0.0,68.96,18.34,83.54,7.09,5.0,86.27837301587302,68.77625,7.025277777777778,78.9588888888889,70.79675925925926,7.26824074074074,57.0,39.0,119.0,W2,96.0,0.594,55,42,45,L1,97,0.567
2024-06-22,KC,TEX,MICHAEL WACHA,JON GRAY,229.0,92.01,2168.94,6.51,12.0,0.0,70.51,22.94,84.92,7.3,4.0,246.0,86.49,1900.43,6.68,13.0,0.0,69.2,18.3,79.54,7.32,3.0,80.64888888888889,69.30563492063492,7.337698412698413,86.79880952380952,71.45596726190476,7.583348214285714,48.0,49.0,47.0,W1,97.0,0.495,47,50,-28,W1,97,0.485
2024-06-22,TB,PIT,ZACH EFLIN,JARED JONES,446.0,92.67,2480.41,6.76,25.0,0.0,70.5,17.72,84.54,7.23,5.0,318.0,87.67,2218.03,6.54,19.0,0.0,71.03,13.31,83.85,7.31,4.0,87.78694444444444,69.20083333333334,7.058869047619048,81.88916666666667,70.40967261904761,7.030654761904762,39.0,58.0,-53.0,W1,97.0,0.402,50,47,61,L4,97,0.515
2024-06-22,ARI,PHI,TOMMY HENRY,ZACK WHEELER,582.0,91.65,2421.21,7.18,35.0,0.0,69.8,17.81,81.49,7.02,6.0,190.0,85.56,2057.8,6.74,6.0,0.0,70.36,20.52,81.74,7.13,3.0,83.98535714285715,73.4412925170068,7.646916099773243,,,,55.0,41.0,63.0,W1,96.0,0.573,47,50,5,W1,97,0.485
2024-06-22,MIN,OAK,BAILEY OBER,JP SEARS,491.0,85.37,2120.25,6.33,17.0,0.0,71.78,20.74,83.56,7.34,6.0,540.0,86.92,2140.96,7.17,34.0,0.0,70.53,22.33,81.27,7.39,6.0,,,,78.7925,71.66243055555556,7.447743055555556,,,,,,,47,49,-8,L1,96,0.49
2024-06-22,SEA,MIA,LOGAN GILBERT,SHAUN ANDERSON,115.0,88.34,2448.58,6.9,4.0,0.0,70.7,15.13,86.53,7.12,3.0,556.0,90.55,1796.13,7.56,37.0,0.0,69.53,14.22,83.58,7.3,6.0,89.05714285714285,69.92666666666668,6.446666666666667,85.2606215213358,73.21420068027211,7.25297619047619,44.0,51.0,-55.0,W2,95.0,0.463,51,45,32,W3,96,0.531
2024-06-22,BAL,HOU,CORBIN BURNES,RONEL BLANCO,585.0,88.37,2023.77,6.93,34.0,0.0,70.06,18.11,82.95,7.41,6.0,575.0,91.02,2732.98,6.5,34.0,0.0,68.68,13.79,82.5,7.38,6.0,84.92380952380952,67.94452380952382,7.642891156462585,86.01309523809523,69.74229166666666,7.363958333333334,56.0,40.0,56.0,L1,96.0,0.583,43,52,-90,L2,95,0.453
2024-06-22,TOR,CLE,JOSE BERRIOS,BEN LIVELY,413.0,86.58,1982.43,6.84,18.0,0.0,69.29,18.68,82.82,7.09,5.0,,,,,,,,,,,,86.34013888888889,69.32166666666667,6.734351851851852,79.91194805194804,66.49214285714285,6.817692307692307,46.0,49.0,-45.0,W2,95.0,0.484,55,41,17,L2,96,0.573
