full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Gerrit Cole,523,91.73,2434.93,6.25,34,0,69.18,23.92,82.5,7.01,6
Nathan Eovaldi,550,89.94,1991.28,6.6,30,0,69.78,12.21,84.73,7.2,6
Sonny Gray,362,88.43,2532.57,6.62,26,0,67.82,13.11,79.99,7.13,4
Patrick Corbin,549,85.21,2175.58,6.75,30,0,70.89,10.04,83.8,7.65,6
Frankie Montas,449,91.57,2171.36,5.96,23,0,70.55,21.33,82.09,7.37,5
Nick Pivetta,546,88.42,2425.41,6.81,47,0,69.33,24.77,81.84,7.04,6
Chris Bassitt,495,87.16,2145.58,6.45,24,0,69.42,20.96,82.58,6.97,5
Aaron Nola,474,87.4,2359.4,6.82,36,0,70.05,16.35,81.82,7.4,5
Michael Wacha,449,86.65,1932.54,6.82,29,0,68.25,14.9,79.96,7.34,5
Cal Quantrill,439,89.27,1933.39,6.47,24,0,69.86,13.36,82.16,7.09,5
Zach Eflin,475,86.98,2256.13,6.55,26,0,68.92,11.62,80.43,7.27,5
Chris Flexen,567,85.78,2188.98,6.34,24,0,69.5,18.28,80.93,7.31,6
Sean Manaea,549,87.39,1999.23,7.17,30,0,69.92,21.31,82.75,6.98,6
Griffin Canning,428,89.69,2155.74,5.91,19,0,70.11,14.6,82.03,7.18,5
Jack Flaherty,377,87.14,2368.27,6.56,27,0,69.75,18.71,81.49,7.49,4
Justin Steele,453,88.71,2475.57,6.36,31,0,69.97,17.92,81.42,6.91,5
Matt Waldron,568,82.12,1301.07,6.62,29,0,69.21,17.09,81.99,7.28,6
Edward Cabrera,226,92.06,2139.46,6.6,12,0,70.97,16.0,87.22,7.37,3
Ryne Nelson,506,91.38,2228.89,6.7,27,0,68.47,20.73,82.9,6.79,6
Corbin Burnes,470,89.94,2714.17,6.55,27,0,69.32,14.86,82.86,7.45,5
Tanner Bibee,588,88.04,2457.54,6.62,39,0,68.48,26.32,80.68,7.03,6
JP Sears,423,86.24,2163.43,6.37,25,0,71.6,22.91,81.75,7.21,5
Spencer Schwellenbach,346,89.06,2120.54,6.85,22,0,69.27,9.28,82.32,7.37,4
Hunter Brown,582,93.22,2185.29,6.62,34,0,69.54,18.82,80.24,6.84,6
Kyle Harrison,248,87.54,2081.21,6.72,11,0,69.25,17.42,83.3,6.99,3
Gavin Stone,414,91.77,2029.65,6.63,23,0,69.37,12.46,82.39,7.28,5
