team,wins,losses,run_diff,streak,games_played,win_pct
NYY,15,7,21,W1,22,.682
BAL,14,7,29,W2,21,.667
BOS,13,10,18,W3,23,.565
TOR,12,10,-13,L1,22,.545
TB,12,11,-18,L1,23,.522
CLE,16,6,52,W4,22,.727
KC,13,9,38,L2,22,.591
DET,12,10,1,W1,22,.545
MIN,7,13,-25,L1,20,.350
CWS,3,18,-71,L3,21,.143
TEX,12,11,10,W1,23,.522
SEA,11,11,3,W1,22,.500
LAA,9,13,-17,L4,22,.409
OAK,8,14,-37,L3,22,.364
HOU,7,16,-28,L2,23,.304
ATL,14,6,35,L1,20,.700
PHI,14,8,11,W6,22,.636
NYM,12,9,11,L1,21,.571
WSH,10,11,-9,W2,21,.476
MIA,6,17,-38,W1,23,.261
MIL,14,6,35,W4,20,.700
CHC,13,9,18,L1,22,.591
CIN,12,9,21,W3,21,.571
PIT,11,11,-3,L6,22,.500
STL,9,13,-19,L4,22,.409
LAD,13,11,15,W1,24,.542
SD,12,12,8,W1,24,.500
ARI,11,12,28,W1,23,.478
SF,10,13,-21,L1,23,.435
COL,5,17,-55,L1,22,.227
