team,wins,losses,run_diff,streak,games_played,win_pct
NYY,86,63,120,L1,149,.577
BAL,84,65,85,W1,149,.564
BOS,75,74,7,W1,149,.503
TB,73,76,-62,L1,149,.490
TOR,71,78,-49,W2,149,.477
CLE,85,64,79,W1,149,.570
KC,82,67,104,W2,149,.550
MIN,78,70,27,L2,148,.527
DET,76,73,33,L1,149,.510
CWS,34,115,-312,W1,149,.228
HOU,80,68,92,W3,148,.541
SEA,76,73,46,W2,149,.510
TEX,71,78,-56,L2,149,.477
OAK,65,84,-94,L1,149,.436
LAA,60,88,-132,L4,148,.405
PHI,89,59,118,W1,148,.601
ATL,81,67,84,W2,148,.547
NYM,81,67,65,L1,148,.547
WSH,67,81,-82,W2,148,.453
MIA,55,94,-200,L2,149,.369
MIL,86,62,135,W3,148,.581
CHC,75,73,55,L3,148,.507
STL,74,74,-66,L2,148,.500
CIN,73,77,29,W2,150,.487
PIT,70,78,-54,L2,148,.473
LAD,87,61,99,L2,148,.588
SD,84,65,84,W2,149,.564
ARI,82,66,94,L2,148,.554
SF,72,77,-28,L3,149,.483
COL,57,92,-221,W3,149,.383
