game_date,home_team,away_team,winner
2024-07-02,Guardians,White Sox,Guardians
2024-07-02,Marlins,Red Sox,Red Sox
2024-07-02,Pirates,Cardinals,Cardinals
2024-07-02,Nationals,Mets,Mets
2024-07-02,Yankees,Reds,Reds
2024-07-02,Blue Jays,Astros,Blue Jays
2024-07-02,Braves,Giants,Giants
2024-07-02,Twins,Tigers,Twins
2024-07-02,Cubs,Phillies,Phillies
2024-07-02,Rangers,Padres,Rangers
2024-07-02,Royals,Rays,Rays
2024-07-02,Rockies,Brewers,Brewers
2024-07-02,Mariners,Orioles,Orioles
2024-07-02,Dodgers,D-backs,Dodgers
