game_date,home_team,away_team,winner
2024-08-20,Marlins,D-backs,D-backs
2024-08-20,Nationals,Rockies,Rockies
2024-08-20,Yankees,Guardians,Guardians
2024-08-20,Blue Jays,Reds,Blue Jays
2024-08-20,Mets,Orioles,Orioles
2024-08-20,Braves,Phillies,Braves
2024-08-20,Cardinals,Brewers,Brewers
2024-08-20,Cubs,Tigers,Cubs
2024-08-20,Rangers,Pirates,Pirates
2024-08-20,Astros,Red Sox,Red Sox
2024-08-20,Royals,Angels,Angels
2024-08-20,Padres,Twins,Padres
2024-08-20,Giants,White Sox,Giants
2024-08-20,Dodgers,Mariners,Dodgers
