game_date,home_team,away_team,winner
2025-06-06,Rays,Marlins,Rays
2025-06-06,Reds,D-backs,Reds
2025-06-06,Pirates,Phillies,Pirates
2025-06-06,Nationals,Rangers,Nationals
2025-06-06,Yankees,Red Sox,Yankees
2025-06-06,Guardians,Astros,Astros
2025-06-06,Tigers,Cubs,Tigers
2025-06-06,White Sox,Royals,White Sox
2025-06-06,Brewers,Padres,Padres
2025-06-06,Twins,Blue Jays,Blue Jays
2025-06-06,Cardinals,Dodgers,Cardinals
2025-06-06,Rockies,Mets,Mets
2025-06-06,Angels,Mariners,Angels
2025-06-06,Athletics,Orioles,Athletics
2025-06-06,Giants,Braves,Giants
