team,wins,losses,run_diff,streak,games_played,win_pct
NYY,73,50,121,W3,123,.593
BAL,72,51,92,L1,123,.585
BOS,64,58,20,W1,122,.525
TB,60,61,-55,W1,121,.496
TOR,58,65,-75,L1,123,.472
CLE,72,50,81,L1,122,.590
MIN,69,53,68,W2,122,.566
KC,67,55,90,W2,122,.549
DET,59,64,-8,L1,123,.480
CWS,30,93,-251,W1,123,.244
HOU,65,56,63,L1,121,.537
SEA,63,60,22,L4,123,.512
TEX,56,67,-33,L2,123,.455
LAA,53,69,-101,W1,122,.434
OAK,52,70,-71,W1,122,.426
PHI,72,50,100,W3,122,.590
ATL,64,58,40,L2,122,.525
NYM,63,59,26,W1,122,.516
WSH,55,68,-68,L3,123,.447
MIA,45,77,-164,L2,122,.369
MIL,70,52,103,W3,122,.574
CIN,60,62,49,L1,122,.492
STL,60,62,-64,L5,122,.492
CHC,60,63,4,W1,123,.488
PIT,57,64,-29,W1,121,.471
LAD,72,51,103,W1,123,.585
ARI,69,54,76,L1,123,.561
SD,69,54,66,L1,123,.561
SF,62,62,-12,W1,124,.500
COL,45,78,-193,W1,123,.366
