game_date,home_team,away_team,winner
2025-07-08,Orioles,Mets,Mets
2025-07-08,Tigers,Rays,Tigers
2025-07-08,Yankees,Mariners,Yankees
2025-07-08,Red Sox,Rockies,Red Sox
2025-07-08,Reds,Marlins,Marlins
2025-07-08,White Sox,Blue Jays,Blue Jays
2025-07-08,Royals,Pirates,Royals
2025-07-08,Brewers,Dodgers,Brewers
2025-07-08,Twins,Cubs,Twins
2025-07-08,Cardinals,Nationals,Cardinals
2025-07-08,Astros,Guardians,Guardians
2025-07-08,Angels,Rangers,Rangers
2025-07-08,Padres,D-backs,Padres
2025-07-08,Giants,Phillies,Giants
2025-07-08,Athletics,Braves,Athletics
