game_date,home_team,away_team,winner
2024-07-28,Rays,Reds,Rays
2024-07-28,Orioles,Padres,Orioles
2024-07-28,Phillies,Guardians,Guardians
2024-07-28,Blue Jays,Rangers,Blue Jays
2024-07-28,Tigers,Twins,Twins
2024-07-28,Mets,Braves,Braves
2024-07-28,White Sox,Mariners,Mariners
2024-07-28,Astros,Dodgers,Dodgers
2024-07-28,Royals,Cubs,Cubs
2024-07-28,Brewers,Marlins,Brewers
2024-07-28,Cardinals,Nationals,Cardinals
2024-07-28,Giants,Rockies,Giants
2024-07-28,D-backs,Pirates,Pirates
2024-07-28,Red Sox,Yankees,Yankees
