full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Lance Lynn,528,90.04,2464.22,6.36,30,0,70.27,18.92,82.87,7.01,6
Michael Lorenzen,545,89.51,2357.15,5.94,22,0,71.42,18.43,83.83,7.25,6
Patrick Corbin,535,85.67,2135.9,6.63,28,0,70.77,14.65,84.04,7.46,6
James Paxton,364,88.39,2037.97,6.55,21,0,70.65,24.42,82.67,7.08,5
Chris Bassitt,584,86.41,2140.3,6.44,34,0,69.3,16.69,81.94,7.08,6
Aaron Nola,567,86.81,2327.75,6.92,28,0,69.85,13.04,81.13,7.48,6
Freddy Peralta,603,89.74,2306.38,6.62,41,0,68.36,24.99,80.89,6.93,6
Griffin Canning,557,90.01,2131.95,5.91,23,0,70.87,6.72,84.85,7.38,6
Tanner Houck,579,87.81,2213.0,5.96,39,0,69.47,1.09,83.01,7.31,6
Justin Steele,576,88.42,2510.76,6.34,42,0,70.08,18.62,81.95,7.1,6
Matt Waldron,583,82.16,1281.81,6.57,32,0,69.27,15.81,79.95,7.15,6
Casey Mize,537,90.38,2103.9,6.98,22,0,69.2,16.3,83.01,7.1,6
Bailey Falter,398,88.04,2007.08,7.26,21,0,68.54,19.33,82.59,6.98,5
Cole Ragans,611,90.12,2436.26,6.14,44,0,69.65,18.47,83.35,7.33,6
Erik Miller,212,90.32,2147.5,6.51,9,0,68.82,20.93,80.41,7.19,12
Taj Bradley,568,92.15,2069.43,6.59,38,0,69.8,20.75,83.29,6.97,6
Tanner Bibee,565,88.91,2468.06,6.66,50,0,69.14,24.65,79.96,7.16,6
Garrett Crochet,563,94.46,2486.47,7.0,56,0,70.04,17.86,83.88,7.0,6
Spencer Schwellenbach,437,88.99,2265.37,6.91,25,0,68.96,8.18,81.77,7.28,5
Carson Spiers,344,88.41,2333.38,6.69,20,0,69.48,11.53,82.57,7.08,4
Bryan Woo,345,93.12,2224.29,6.79,13,0,69.85,23.21,82.53,6.95,5
Cade Povich,378,86.67,2323.41,6.39,14,0,69.26,18.98,82.14,7.3,4
