game_date,home_team,away_team,winner
2025-06-27,Pirates,Mets,Pirates
2025-06-27,Orioles,Rays,Orioles
2025-06-27,Yankees,Athletics,Yankees
2025-06-27,Red Sox,Blue Jays,Blue Jays
2025-06-27,Reds,Padres,Reds
2025-06-27,Guardians,Cardinals,Cardinals
2025-06-27,Tigers,Twins,Twins
2025-06-27,Braves,Phillies,Phillies
2025-06-27,White Sox,Giants,Giants
2025-06-27,Rangers,Mariners,Mariners
2025-06-27,Astros,Cubs,Astros
2025-06-27,Royals,Dodgers,Dodgers
2025-06-27,Brewers,Rockies,Brewers
2025-06-27,Angels,Nationals,Nationals
2025-06-27,D-backs,Marlins,Marlins
