game_date,home_team,away_team,winner
2024-08-18,Mets,Marlins,Marlins
2024-08-18,Orioles,Red Sox,Orioles
2024-08-18,Phillies,Nationals,Nationals
2024-08-18,Pirates,Mariners,Mariners
2024-08-18,Reds,Royals,Royals
2024-08-18,Rays,D-backs,Rays
2024-08-18,Astros,White Sox,Astros
2024-08-18,Brewers,Guardians,Brewers
2024-08-18,Cardinals,Dodgers,Dodgers
2024-08-18,Cubs,Blue Jays,Blue Jays
2024-08-18,Rangers,Twins,Rangers
2024-08-18,Rockies,Padres,Rockies
2024-08-18,Angels,Braves,Braves
2024-08-18,Tigers,Yankees,Tigers
