game_date,home_team,away_team,winner
2025-06-08,Rays,Marlins,Rays
2025-06-08,Brewers,Padres,Padres
2025-06-08,Pirates,Phillies,Pirates
2025-06-08,Nationals,Rangers,Rangers
2025-06-08,Reds,D-backs,Reds
2025-06-08,Guardians,Astros,Guardians
2025-06-08,Tigers,Cubs,Tigers
2025-06-08,White Sox,Royals,Royals
2025-06-08,Twins,Blue Jays,Twins
2025-06-08,Cardinals,Dodgers,Dodgers
2025-06-08,Rockies,Mets,Mets
2025-06-08,Athletics,Orioles,Athletics
2025-06-08,Giants,Braves,Giants
2025-06-08,Angels,Mariners,Mariners
2025-06-08,Yankees,Red Sox,Red Sox
