game_date,home_team,away_team,winner
2025-07-06,Braves,Orioles,Orioles
2025-07-06,Phillies,Reds,Phillies
2025-07-06,Nationals,Red Sox,Red Sox
2025-07-06,Blue Jays,Angels,Blue Jays
2025-07-06,Guardians,Tigers,Tigers
2025-07-06,Marlins,Brewers,Brewers
2025-07-06,Mets,Yankees,Yankees
2025-07-06,Twins,Rays,Rays
2025-07-06,Rockies,White Sox,Rockies
2025-07-06,D-backs,Royals,Royals
2025-07-06,Dodgers,Astros,Astros
2025-07-06,Mariners,Pirates,Mariners
2025-07-06,Cubs,Cardinals,Cubs
2025-07-06,Padres,Rangers,Padres
2025-07-06,Athletics,Giants,Giants
