game_date,home_team,away_team,winner
2024-03-31,Orioles,Angels,Angels
2024-03-31,Phillies,Braves,Phillies
2024-03-31,Reds,Nationals,Reds
2024-03-31,Marlins,Pirates,Pirates
2024-03-31,Mets,Brewers,Brewers
2024-03-31,Rays,Blue Jays,Blue Jays
2024-03-31,White Sox,Tigers,Tigers
2024-03-31,Astros,Yankees,Yankees
2024-03-31,Royals,Twins,Royals
2024-03-31,Rangers,Cubs,Cubs
2024-03-31,D-backs,Rockies,D-backs
2024-03-31,Padres,Giants,Padres
2024-03-31,Mariners,Red Sox,Red Sox
2024-03-31,Dodgers,Cardinals,Dodgers
