team,wins,losses,run_diff,streak,games_played,win_pct
NYY,43,31,101,W1,74,.581
TB,41,34,65,L1,75,.547
TOR,40,34,-8,L1,74,.541
BOS,39,37,18,W1,76,.513
BAL,32,42,-76,W1,74,.432
DET,48,28,87,L1,76,.632
CLE,37,36,-24,L1,73,.507
MIN,37,37,11,W1,74,.500
KC,37,38,-17,W3,75,.493
CWS,23,52,-75,L8,75,.307
HOU,43,32,52,L1,75,.573
SEA,37,36,2,L1,73,.507
LAA,36,38,-60,L1,74,.486
TEX,36,39,16,L3,75,.480
Athletics,31,46,-126,W1,77,.403
NYM,45,30,68,L6,75,.600
PHI,45,30,34,W2,75,.600
ATL,34,39,24,W3,73,.466
WSH,31,44,-70,W1,75,.413
MIA,29,44,-89,L2,73,.397
CHC,45,29,106,L1,74,.608
MIL,40,35,20,W1,75,.533
STL,40,35,31,W3,75,.533
CIN,39,36,37,L1,75,.520
PIT,30,46,-61,W1,76,.395
LAD,46,30,75,L1,76,.605
SF,42,33,43,W1,75,.560
SD,40,34,21,W1,74,.541
ARI,37,37,-9,W1,74,.500
COL,17,58,-196,L1,75,.227
