full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Carlos Carrasco,423,85.93,2059.74,6.6,20,0,71.33,6.46,83.27,7.58,5
Kyle Gibson,530,87.35,2185.9,6.97,29,0,70.36,9.22,84.25,7.43,6
Tyler Anderson,467,84.61,2089.88,6.15,21,0,69.56,24.01,80.53,7.4,5
Shawn Armstrong,202,91.67,2359.76,6.64,16,0,71.51,21.51,82.68,6.98,10
Jon Gray,455,90.17,2168.82,6.75,31,0,70.57,18.7,82.44,7.48,6
Jameson Taillon,162,86.36,2443.19,6.66,8,0,68.89,25.06,81.03,7.28,2
Spencer Turnbull,434,87.37,2522.1,6.21,30,0,70.21,11.74,82.36,7.32,5
Ty Blach,85,85.04,2060.54,5.1,1,0,71.51,15.36,83.23,7.28,2
Sean Manaea,537,88.09,1992.94,7.17,34,0,68.45,17.5,82.55,7.1,6
Jack Flaherty,475,87.23,2330.81,6.69,36,0,69.85,14.9,81.91,7.42,5
Jordan Montgomery,165,85.85,2090.24,6.69,6,0,70.63,16.44,84.08,7.34,2
Clarke Schmidt,513,89.56,2761.05,6.24,35,0,67.46,18.35,82.52,7.02,6
Joe Ryan,452,89.81,2230.01,6.87,38,0,68.15,23.88,81.1,7.05,5
Matt Waldron,456,83.03,1652.41,6.67,23,0,69.8,16.72,78.41,7.03,5
Jake Irvin,423,89.86,2410.36,6.89,22,0,69.24,16.4,84.81,6.91,5
Dean Kremer,453,88.03,2148.72,6.23,27,0,70.54,21.27,82.11,7.21,5
Nick Lodolo,269,89.08,2405.83,6.26,20,0,68.66,15.97,82.89,7.43,3
Bryse Wilson,274,90.42,2227.8,6.6,15,0,69.22,17.84,81.74,7.02,8
Joe Boyle,429,91.89,2516.5,6.69,24,0,68.04,18.05,82.64,7.07,5
Ryan Walker,236,89.11,2394.52,6.08,18,0,63.66,14.92,77.23,6.92,15
Josh Fleming,202,86.72,1767.7,6.56,8,0,69.49,-1.72,77.8,7.33,11
Garrett Crochet,511,92.17,2470.47,7.13,40,0,69.61,18.9,83.18,7.29,6
Alec Marsh,397,89.25,2432.75,6.21,17,0,69.31,19.0,82.53,6.91,5
Spencer Arrighetti,256,88.47,2479.35,7.32,15,0,70.1,22.34,82.86,7.34,3
Cooper Criswell,210,83.59,2071.91,6.98,7,0,68.71,12.47,82.52,7.14,3
Bryce Miller,519,90.77,2138.95,6.45,31,0,70.15,18.92,83.8,7.2,6
Landon Knack,169,87.48,2401.2,5.89,9,0,70.97,25.53,85.42,7.32,2
