mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
457705,andrew mccutchen,PIT,77.61,69.21,7.61,18,0,0,9.0,78.0,371.0,0.25,0.38
518692,freddie freeman,LAD,78.45,67.68,6.42,14,0,0,10.0,86.0,384.0,0.3,0.47
521692,salvador pérez,KC,84.42,73.71,8.33,14,1,1,18.0,77.0,407.0,0.26,0.47
527038,wilmer flores,SF,83.74,65.43,6.81,22,0,2,12.0,65.0,363.0,0.24,0.38
542303,marcell ozuna,ATL,89.82,75.55,7.25,17,0,0,13.0,90.0,396.0,0.24,0.39
543760,marcus semien,TEX,83.27,66.81,7.67,26,0,0,13.0,80.0,429.0,0.23,0.36
543807,george springer,TOR,83.28,71.35,7.82,7,0,0,17.0,73.0,393.0,0.29,0.5
575929,willson contreras,STL,85.13,72.33,7.81,16,0,2,14.0,104.0,417.0,0.27,0.46
592206,nick castellanos,PHI,87.58,69.7,7.92,21,0,3,13.0,85.0,421.0,0.27,0.43
592518,manny machado,SD,82.61,68.15,7.38,14,0,0,19.0,76.0,443.0,0.29,0.49
592885,christian yelich,MIL,86.61,69.05,7.15,24,0,1,19.0,112.0,412.0,0.26,0.44
607208,trea turner,PHI,83.73,69.82,7.26,27,0,0,11.0,75.0,455.0,0.3,0.44
621020,dansby swanson,CHC,87.36,70.23,7.45,25,0,0,16.0,115.0,426.0,0.25,0.42
621493,taylor ward,LAA,85.14,69.14,6.69,22,1,1,23.0,119.0,442.0,0.23,0.48
621566,matt olson,ATL,79.14,70.16,7.09,12,0,1,18.0,106.0,453.0,0.26,0.47
641355,cody bellinger,NYY,84.14,64.86,7.43,21,0,1,19.0,55.0,401.0,0.28,0.51
642715,willy adames,SF,77.68,72.49,8.43,18,0,0,15.0,113.0,438.0,0.23,0.4
645277,ozzie albies,ATL,83.86,69.22,7.62,10,0,0,9.0,68.0,432.0,0.22,0.33
646240,rafael devers,SF,93.56,69.59,7.44,16,1,0,19.0,120.0,474.0,0.26,0.48
647304,josh naylor,AZ,89.4,70.21,8.15,16,0,4,11.0,51.0,398.0,0.29,0.44
650333,luis arráez,SD,83.78,63.28,6.36,12,0,1,5.0,12.0,428.0,0.29,0.4
650490,yandy díaz,TB,77.37,71.28,7.23,21,0,3,17.0,61.0,436.0,0.29,0.47
650859,luis rengifo,LAA,85.4,64.92,6.62,15,0,0,4.0,66.0,367.0,0.24,0.32
656716,zach mckinstry,DET,77.42,66.34,6.5,10,0,0,8.0,73.0,356.0,0.27,0.44
656775,cedric mullins,BAL,83.24,71.82,8.07,21,0,2,13.0,83.0,335.0,0.22,0.4
656811,ryan o'hearn,BAL,92.96,72.56,7.7,9,0,0,12.0,57.0,342.0,0.28,0.45
656941,kyle schwarber,PHI,75.88,76.74,7.96,26,0,2,36.0,121.0,458.0,0.26,0.58
657757,gavin sheets,SD,72.93,62.91,7.21,11,0,2,14.0,75.0,383.0,0.25,0.42
660271,shohei ohtani,LAD,81.6,76.53,7.47,16,0,2,37.0,121.0,470.0,0.27,0.62
660821,jesús sánchez,MIA,75.0,71.18,6.42,21,0,3,9.0,67.0,321.0,0.26,0.42
661388,william contreras,MIL,79.04,71.71,7.19,16,0,0,6.0,80.0,422.0,0.24,0.34
663538,nico hoerner,CHC,82.5,68.43,6.97,19,0,0,3.0,30.0,407.0,0.29,0.37
663586,austin riley,ATL,88.75,75.79,7.74,16,1,1,14.0,114.0,412.0,0.27,0.44
663647,ke'bryan hayes,PIT,76.4,68.56,6.59,14,0,2,2.0,79.0,377.0,0.24,0.3
663697,jonathan india,KC,95.6,70.4,7.6,14,0,0,4.0,68.0,411.0,0.24,0.34
663728,cal raleigh,SEA,80.5,76.34,7.54,17,1,0,39.0,113.0,448.0,0.26,0.61
663993,nathaniel lowe,WSH,82.75,70.09,6.99,14,0,3,15.0,118.0,428.0,0.22,0.39
