team,wins,losses,run_diff,streak,games_played,win_pct
NYY,48,38,103,L3,86,.558
TOR,48,38,6,W4,86,.558
TB,48,39,69,W1,87,.552
BOS,43,45,15,L1,88,.489
BAL,37,49,-87,L2,86,.430
DET,54,33,103,L1,87,.621
MIN,41,45,-15,W1,86,.477
CLE,40,44,-51,L6,84,.476
KC,40,47,-35,L1,87,.460
CWS,28,58,-86,L2,86,.326
HOU,52,34,49,W3,86,.605
SEA,45,41,15,W1,86,.523
TEX,43,44,26,W2,87,.494
LAA,42,43,-50,L1,85,.494
Athletics,36,53,-140,L1,89,.404
PHI,51,36,52,W1,87,.586
NYM,49,38,38,W1,87,.563
ATL,39,46,13,W1,85,.459
MIA,38,46,-73,L1,84,.452
WSH,36,50,-72,W1,86,.419
CHC,51,35,108,W2,86,.593
MIL,48,38,57,L1,86,.558
STL,47,41,32,L3,88,.534
CIN,45,42,35,W1,87,.517
PIT,38,50,-29,W6,88,.432
LAD,55,32,96,W3,87,.632
SD,46,40,11,L1,86,.535
SF,46,41,25,W1,87,.529
ARI,43,43,9,L1,86,.500
COL,19,67,-224,L2,86,.221
