team,wins,losses,run_diff,streak,games_played,win_pct
NYY,78,55,129,L1,133,.586
BAL,77,56,87,W1,133,.579
BOS,68,64,9,W1,132,.515
TB,66,66,-59,W1,132,.500
TOR,65,69,-63,L1,134,.485
CLE,75,58,66,L3,133,.564
KC,75,58,107,W3,133,.564
MIN,72,60,67,L3,132,.545
DET,67,66,17,W5,133,.504
CWS,31,102,-281,L5,133,.233
HOU,70,62,67,L2,132,.530
SEA,67,66,18,L1,133,.504
TEX,61,71,-43,W1,132,.462
OAK,57,75,-79,W2,132,.432
LAA,54,78,-127,L6,132,.409
PHI,78,54,120,W4,132,.591
ATL,72,60,57,W2,132,.545
NYM,69,63,35,W1,132,.523
WSH,60,73,-62,W1,133,.451
MIA,48,84,-184,W1,132,.364
MIL,75,56,110,L2,131,.573
CHC,67,66,32,W2,133,.504
STL,65,67,-61,L2,132,.492
CIN,63,69,28,L2,132,.477
PIT,62,70,-42,L2,132,.470
LAD,78,54,115,L1,132,.591
ARI,75,57,87,L1,132,.568
SD,76,58,69,W3,134,.567
SF,67,66,-11,W1,133,.504
COL,49,84,-208,L1,133,.368
