full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Yu Darvish,63,87.25,2575.48,6.58,4,0,70.37,8.45,78.47,7.57,1
Nathan Eovaldi,485,89.83,1981.68,6.56,31,0,69.13,15.06,81.87,7.09,5
Sonny Gray,573,88.22,2490.35,6.61,39,0,68.22,14.62,81.85,7.31,6
Marcus Stroman,450,85.94,2367.41,5.55,19,0,70.27,11.96,82.69,7.2,5
Ben Lively,529,86.22,1963.36,6.94,18,0,69.42,18.37,83.51,7.11,6
Colin Rea,549,88.63,2102.05,6.58,32,0,69.84,24.3,83.76,7.17,6
Seth Lugo,571,86.97,2542.32,6.03,32,0,69.14,13.1,82.47,7.23,6
Cole Sulser,95,89.47,2193.34,6.57,4,0,69.71,30.54,78.07,7.14,3
Griffin Canning,447,89.34,2217.62,5.92,20,0,70.23,16.93,83.78,7.32,5
Tanner Houck,550,88.96,2289.83,5.97,27,0,69.73,2.35,84.4,7.27,6
Tylor Megill,164,91.08,2146.45,7.28,9,0,68.19,11.44,82.02,6.88,2
Zac Gallen,577,88.5,2194.43,6.5,34,0,69.03,13.4,82.74,7.44,6
MacKenzie Gore,559,91.34,2242.6,6.9,33,0,69.3,16.1,83.53,7.04,6
George Kirby,542,91.73,2162.0,6.5,31,0,68.66,19.14,84.31,6.88,6
Bowden Francis,533,87.56,1965.29,6.79,45,0,69.66,26.49,82.6,7.12,6
Keider Montero,505,89.5,2356.68,6.36,26,0,69.46,16.36,81.82,7.08,6
Bobby Miller,358,90.74,2352.51,6.83,21,0,68.21,18.29,86.7,7.28,4
JP Sears,572,86.61,2025.42,6.37,29,0,70.18,22.18,82.02,7.13,6
Valente Bellozo,512,83.06,2301.71,5.97,18,0,70.65,32.26,85.0,7.2,6
Ronny Henriquez,137,91.84,2207.7,6.52,7,0,69.65,12.51,84.01,7.31,7
Spencer Arrighetti,420,88.0,2460.46,7.03,35,0,70.0,24.26,83.37,7.36,5
Shota Imanaga,560,86.94,1986.65,6.29,37,0,69.38,26.09,80.81,7.32,6
Jonathan Cannon,561,88.77,2161.81,6.18,24,0,71.07,18.05,82.64,7.17,6
Bradley Blalock,447,88.61,2072.77,6.43,16,0,70.44,22.08,84.72,7.22,5
Hayden Birdsong,478,89.41,2209.14,6.57,26,0,69.24,17.38,83.13,7.22,6
