game_date,home_team,away_team,winner
2024-08-23,Pirates,Reds,Pirates
2024-08-23,Orioles,Astros,Orioles
2024-08-23,Yankees,Rockies,Yankees
2024-08-23,Blue Jays,Angels,Blue Jays
2024-08-23,Red Sox,D-backs,D-backs
2024-08-23,Guardians,Rangers,Rangers
2024-08-23,Marlins,Cubs,Cubs
2024-08-23,Braves,Nationals,Braves
2024-08-23,White Sox,Tigers,Tigers
2024-08-23,Royals,Phillies,Royals
2024-08-23,Twins,Cardinals,Cardinals
2024-08-23,Padres,Mets,Padres
2024-08-23,Dodgers,Rays,Dodgers
2024-08-23,Mariners,Giants,Mariners
