game_date,home_team,away_team,winner
2024-05-28,Mets,Dodgers,Dodgers
2024-05-28,Mets,Dodgers,Dodgers
2024-05-28,Orioles,Red Sox,Red Sox
2024-05-28,Reds,Cardinals,Cardinals
2024-05-28,Braves,Nationals,Braves
2024-05-28,White Sox,Blue Jays,Blue Jays
2024-05-28,Brewers,Cubs,Cubs
2024-05-28,Twins,Royals,Twins
2024-05-28,Rangers,D-backs,Rangers
2024-05-28,Rockies,Guardians,Guardians
2024-05-28,Angels,Yankees,Angels
2024-05-28,Padres,Marlins,Padres
2024-05-28,Mariners,Astros,Mariners
2024-05-28,Giants,Phillies,Giants
