game_date,home_team,away_team,winner
2025-06-13,Cubs,Pirates,Pirates
2025-06-13,Phillies,Blue Jays,Phillies
2025-06-13,Nationals,Marlins,Marlins
2025-06-13,Orioles,Angels,Orioles
2025-06-13,Red Sox,Yankees,Red Sox
2025-06-13,Tigers,Reds,Tigers
2025-06-13,Mets,Rays,Rays
2025-06-13,Braves,Rockies,Braves
2025-06-13,Rangers,White Sox,Rangers
2025-06-13,Astros,Twins,Astros
2025-06-13,Royals,Athletics,Athletics
2025-06-13,Brewers,Cardinals,Brewers
2025-06-13,D-backs,Padres,D-backs
2025-06-13,Dodgers,Giants,Giants
2025-06-13,Mariners,Guardians,Mariners
