game_date,home_team,away_team,winner
2024-05-01,Tigers,Cardinals,Tigers
2024-05-01,Brewers,Rays,Brewers
2024-05-01,White Sox,Twins,Twins
2024-05-01,Blue Jays,Royals,Royals
2024-05-01,Mariners,Braves,Braves
2024-05-01,Angels,Phillies,Phillies
2024-05-01,Padres,Reds,Padres
2024-05-01,Orioles,Yankees,Yankees
2024-05-01,Marlins,Rockies,Marlins
2024-05-01,Red Sox,Giants,Red Sox
2024-05-01,Mets,Cubs,Cubs
2024-05-01,Rangers,Nationals,Nationals
2024-05-01,Astros,Guardians,Guardians
2024-05-01,D-backs,Dodgers,Dodgers
