game_date,home_team,away_team,winner
2024-05-29,Tigers,Pirates,Pirates
2024-05-29,Tigers,Pirates,Tigers
2024-05-29,Reds,Cardinals,Cardinals
2024-05-29,Rangers,D-backs,Rangers
2024-05-29,Giants,Phillies,Phillies
2024-05-29,Mets,Dodgers,Dodgers
2024-05-29,Padres,Marlins,Marlins
2024-05-29,Orioles,Red Sox,Orioles
2024-05-29,Braves,Nationals,Nationals
2024-05-29,White Sox,Blue Jays,Blue Jays
2024-05-29,Brewers,Cubs,Brewers
2024-05-29,Twins,Royals,Royals
2024-05-29,Rockies,Guardians,Rockies
2024-05-29,Angels,Yankees,Yankees
2024-05-29,Mariners,Astros,Mariners
