team,wins,losses,run_diff,streak,games_played,win_pct
BAL,65,46,82,L2,111,.586
NYY,65,46,115,L1,111,.586
BOS,58,51,28,W2,109,.532
TB,55,54,-49,L2,109,.505
TOR,52,59,-79,W1,111,.468
CLE,67,42,92,W5,109,.615
KC,62,49,95,W5,111,.559
MIN,60,48,49,W2,108,.556
DET,52,59,-24,L5,111,.468
CWS,27,85,-237,L18,112,.241
HOU,57,52,47,W2,109,.523
SEA,58,53,29,W1,111,.523
TEX,52,58,-18,L3,110,.473
LAA,47,63,-98,L3,110,.427
OAK,46,65,-62,W1,111,.414
PHI,65,44,94,L5,109,.596
ATL,60,49,63,W4,109,.550
NYM,58,51,30,W1,109,.532
WSH,49,61,-59,L5,110,.445
MIA,40,70,-148,L2,110,.364
MIL,62,47,82,W1,109,.569
STL,56,54,-39,L2,110,.509
PIT,55,54,-6,L2,109,.505
CHC,54,58,-3,W3,112,.482
CIN,52,57,32,L2,109,.477
LAD,63,47,85,L3,110,.573
ARI,59,51,46,W4,110,.536
SD,59,52,39,L1,111,.532
SF,55,56,-15,W2,111,.495
COL,41,70,-171,W3,111,.369
