game_date,home_team,away_team,winner
2024-09-24,Tigers,Rays,Tigers
2024-09-24,Guardians,Reds,Guardians
2024-09-24,Phillies,Cubs,Cubs
2024-09-24,Pirates,Brewers,Brewers
2024-09-24,Nationals,Royals,Royals
2024-09-24,Yankees,Orioles,Orioles
2024-09-24,Blue Jays,Red Sox,Red Sox
2024-09-24,Braves,Mets,Braves
2024-09-24,White Sox,Angels,White Sox
2024-09-24,Twins,Marlins,Marlins
2024-09-24,Astros,Mariners,Astros
2024-09-24,Rockies,Cardinals,Cardinals
2024-09-24,D-backs,Giants,Giants
2024-09-24,Dodgers,Padres,Padres
