game_date,home_team,away_team,winner
2025-07-13,Orioles,Marlins,Marlins
2025-07-13,Red Sox,Rays,Red Sox
2025-07-13,Yankees,Cubs,Cubs
2025-07-13,Reds,Rockies,Reds
2025-07-13,Tigers,Mariners,Mariners
2025-07-13,White Sox,Guardians,Guardians
2025-07-13,Astros,Rangers,Rangers
2025-07-13,Royals,Mets,Royals
2025-07-13,Brewers,Nationals,Brewers
2025-07-13,Twins,Pirates,Pirates
2025-07-13,Cardinals,Braves,Cardinals
2025-07-13,Athletics,Blue Jays,Athletics
2025-07-13,Giants,Dodgers,Dodgers
2025-07-13,Angels,D-backs,D-backs
2025-07-13,Padres,Phillies,Phillies
