team,wins,losses,run_diff,streak,games_played,win_pct
BAL,72,50,94,W2,122,.590
NYY,72,50,118,W2,122,.590
BOS,63,58,18,L2,121,.521
TB,59,61,-56,L3,120,.492
TOR,58,64,-74,W3,122,.475
CLE,72,49,83,W5,121,.595
MIN,68,53,67,W1,121,.562
KC,66,55,84,W1,121,.545
DET,59,63,-5,W4,122,.484
CWS,29,93,-252,L2,122,.238
HOU,65,55,64,W8,120,.542
SEA,63,59,24,L3,122,.516
TEX,56,66,-32,L1,122,.459
LAA,52,69,-102,L3,121,.430
OAK,52,70,-71,W1,122,.426
PHI,71,50,99,W2,121,.587
ATL,64,57,41,L1,121,.529
NYM,62,59,22,L1,121,.512
WSH,55,67,-67,L2,122,.451
MIA,45,76,-160,L1,121,.372
MIL,69,52,101,W2,121,.570
CIN,60,61,55,W4,121,.496
STL,60,61,-63,L4,121,.496
CHC,59,63,3,L3,122,.484
PIT,56,64,-31,L10,120,.467
LAD,71,51,102,L2,122,.582
ARI,69,53,77,W6,122,.566
SD,69,53,70,W3,122,.566
SF,62,62,-12,W1,124,.500
COL,44,78,-197,L3,122,.361
