game_date,home_team,away_team,winner
2024-04-28,Braves,Guardians,Braves
2024-04-28,Blue Jays,Dodgers,Blue Jays
2024-04-28,Tigers,Royals,Tigers
2024-04-28,Marlins,Nationals,Nationals
2024-04-28,Mets,Cardinals,Mets
2024-04-28,White Sox,Rays,White Sox
2024-04-28,Brewers,Yankees,Yankees
2024-04-28,Rangers,Reds,Rangers
2024-04-28,Rockies,Astros,Astros
2024-04-28,Giants,Pirates,Giants
2024-04-28,Angels,Twins,Twins
2024-04-28,Padres,Phillies,Phillies
2024-04-28,Mariners,D-backs,D-backs
2024-04-28,Red Sox,Cubs,Red Sox
