mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
457705,andrew mccutchen,PIT,88.7,69.34,7.31,24,0,2,9.0,78.0,366.0,0.26,0.39
502671,paul goldschmidt,NYY,86.02,68.5,7.92,42,0,2,8.0,66.0,381.0,0.29,0.43
514888,josé altuve,HOU,78.89,71.61,7.96,14,0,0,17.0,68.0,424.0,0.28,0.46
518692,freddie freeman,LAD,88.86,65.94,7.02,16,0,1,10.0,85.0,380.0,0.3,0.47
521692,salvador pérez,KC,81.68,69.58,7.78,9,0,0,18.0,77.0,407.0,0.26,0.47
527038,wilmer flores,SF,84.17,57.75,5.9,9,0,0,12.0,64.0,359.0,0.24,0.38
542303,marcell ozuna,ATL,90.7,70.21,6.76,15,0,2,13.0,90.0,395.0,0.24,0.39
543760,marcus semien,TEX,92.15,66.81,7.96,15,0,1,13.0,80.0,424.0,0.23,0.37
543807,george springer,TOR,75.33,70.15,7.05,18,0,3,17.0,72.0,388.0,0.28,0.5
553993,eugenio suárez,AZ,80.2,68.88,7.42,7,0,0,36.0,110.0,416.0,0.25,0.59
571448,nolan arenado,STL,79.35,65.59,7.97,46,0,4,10.0,36.0,375.0,0.24,0.38
572233,christian walker,HOU,93.37,75.98,7.55,16,2,1,13.0,112.0,410.0,0.24,0.38
573262,mike yastrzemski,SF,73.13,68.84,7.42,19,0,2,8.0,81.0,354.0,0.24,0.37
575929,willson contreras,STL,74.43,72.22,7.8,36,0,6,14.0,104.0,413.0,0.26,0.45
592206,nick castellanos,PHI,80.57,59.68,7.32,13,1,1,13.0,85.0,416.0,0.27,0.43
592450,aaron judge,NYY,85.9,76.84,8.61,18,0,1,37.0,119.0,455.0,0.34,0.72
592518,manny machado,SD,85.85,75.25,7.56,12,0,1,19.0,76.0,439.0,0.29,0.49
593428,xander bogaerts,SD,84.92,69.96,7.36,11,0,1,6.0,65.0,410.0,0.27,0.38
596019,francisco lindor,NYM,92.5,73.51,7.53,16,0,1,19.0,83.0,457.0,0.25,0.43
596146,max kepler,PHI,84.98,68.96,7.0,16,0,0,11.0,66.0,333.0,0.2,0.37
605137,josh bell,WSH,91.9,71.08,7.42,11,0,1,13.0,59.0,344.0,0.22,0.39
605141,mookie betts,LAD,75.58,63.07,6.71,21,0,2,11.0,46.0,414.0,0.24,0.37
606192,teoscar hernández,LAD,82.0,72.92,7.65,19,0,1,14.0,79.0,331.0,0.25,0.45
607043,brandon nimmo,NYM,75.67,75.69,7.05,17,0,0,19.0,79.0,409.0,0.26,0.47
607208,trea turner,PHI,84.55,70.72,7.6,18,0,2,11.0,74.0,449.0,0.29,0.43
621020,dansby swanson,CHC,82.88,69.14,7.41,19,0,2,16.0,114.0,424.0,0.25,0.42
621043,carlos correa,MIN,81.9,69.16,7.75,23,0,1,7.0,65.0,345.0,0.27,0.39
621439,byron buxton,MIN,66.85,73.62,8.0,12,0,0,23.0,95.0,357.0,0.29,0.57
621493,taylor ward,LAA,78.82,68.03,6.7,17,0,2,23.0,116.0,438.0,0.23,0.49
621566,matt olson,ATL,87.22,69.87,6.57,16,0,0,18.0,105.0,448.0,0.27,0.48
624413,pete alonso,NYM,81.71,76.51,6.78,19,0,0,22.0,104.0,445.0,0.27,0.52
641857,ryan mcmahon,COL,68.79,69.45,6.82,18,0,1,16.0,127.0,401.0,0.22,0.4
642715,willy adames,SF,90.6,74.24,7.99,21,1,0,15.0,113.0,434.0,0.23,0.4
645277,ozzie albies,ATL,93.14,68.47,7.04,9,0,0,9.0,67.0,428.0,0.22,0.33
646240,rafael devers,SF,79.4,74.92,7.7,19,0,0,19.0,118.0,470.0,0.26,0.48
647304,josh naylor,AZ,84.06,69.94,7.43,25,1,2,11.0,49.0,394.0,0.29,0.45
650333,luis arráez,SD,83.12,60.06,5.89,23,0,0,5.0,12.0,424.0,0.29,0.4
650402,gleyber torres,DET,83.78,70.53,8.0,14,0,2,9.0,51.0,388.0,0.28,0.42
650489,willi castro,MIN,75.62,68.92,6.95,23,0,1,10.0,79.0,319.0,0.26,0.43
650490,yandy díaz,TB,89.67,72.13,7.23,14,0,1,17.0,60.0,432.0,0.29,0.47
650859,luis rengifo,LAA,74.2,69.03,6.87,15,1,0,4.0,65.0,363.0,0.24,0.32
656555,rhys hoskins,MIL,89.42,70.91,7.43,23,0,0,12.0,85.0,318.0,0.24,0.43
656716,zach mckinstry,DET,72.65,66.71,7.6,15,0,2,8.0,72.0,352.0,0.27,0.45
656775,cedric mullins,BAL,81.23,68.47,7.4,11,0,1,13.0,83.0,331.0,0.21,0.4
656941,kyle schwarber,PHI,89.08,72.58,8.08,18,1,2,34.0,120.0,452.0,0.25,0.56
657757,gavin sheets,SD,87.97,73.44,7.35,22,0,1,14.0,74.0,379.0,0.25,0.42
660271,shohei ohtani,LAD,81.15,76.16,7.77,26,0,3,37.0,119.0,465.0,0.27,0.62
660821,jesús sánchez,MIA,82.52,75.2,7.48,11,0,1,9.0,66.0,316.0,0.26,0.42
661388,william contreras,MIL,88.89,73.72,7.67,18,0,1,6.0,80.0,418.0,0.25,0.35
663457,lars nootbaar,STL,78.52,69.19,6.83,41,0,5,12.0,83.0,386.0,0.23,0.38
