game_date,home_team,away_team,winner
2024-09-15,Tigers,Orioles,Tigers
2024-09-15,Twins,Reds,Twins
2024-09-15,Yankees,Red Sox,Yankees
2024-09-15,Phillies,Mets,Phillies
2024-09-15,Pirates,Royals,Pirates
2024-09-15,Nationals,Marlins,Nationals
2024-09-15,Blue Jays,Cardinals,Blue Jays
2024-09-15,Guardians,Rays,Guardians
2024-09-15,Rockies,Cubs,Cubs
2024-09-15,Giants,Padres,Padres
2024-09-15,Angels,Astros,Astros
2024-09-15,D-backs,Brewers,D-backs
2024-09-15,Mariners,Rangers,Mariners
2024-09-15,Braves,Dodgers,Dodgers
